연번,비상소화장치일련번호,안전센터ID,일련번호,X좌표,Y좌표,비상소화장치고유번호,사용구분,삭제여부,업데이트날짜,geometry,lon,lat
20,110081562,1109103,87,200915.9137,556716.5667,성북-길음-100(비,52201,N,20241013171004,POINT (127.01037327410528 37.61003337785433),127.01037327410528,37.61003337785433
21,110081346,1108105,88,192337.2677,545216.9009,영등포-신길-0000,52201,N,20240905171638,POINT (126.91333507297043 37.506390373088074),126.91333507297043,37.506390373088074
22,110080020,1109102,311,200750.9344,554607.635,성북-돈암-212(비,52201,N,20240920172927,POINT (127.00850262154216 37.59103224804494),127.00850262154216,37.59103224804494
23,110080022,1109102,313,200777.4553,553664.5215,성북-돈암-208(비,52201,N,20240930170849,POINT (127.00880190969325 37.58253484092354),127.00880190969325,37.58253484092354
24,110080023,1109102,314,201894.8484,554959.4635,성북-돈암-213(비,52201,N,20241012170657,POINT (127.0214557513594 37.59420055065472),127.0214557513594,37.59420055065472
25,110080025,1109103,316,199728.501,556312.8045,성북-길음-204(비,52201,N,20240926171119,POINT (126.99692526009684 37.60639593838821),126.99692526009684,37.60639593838821
26,110080027,1112508,318,193923.2345,558475.1281,은평-현장-52(비),52201,N,20241002172303,POINT (126.93116238825395 37.62585818289187),126.93116238825395,37.62585818289187
27,110080029,1123505,319,193953.242,552883.0754,서대문-현장-11(?,52201,N,20240924174257,POINT (126.9315484899342 37.57547454057399),126.9315484899342,37.57547454057399
28,110080030,1123102,320,192436.0562,552336.955,서대문-북가-41(?,52201,N,20241011171100,POINT (126.91437904154273 37.5705428204817),126.91437904154273,37.5705428204817
29,110080032,1123103,322,195705.6808,555164.4956,서대문-홍은-56(?,52201,N,20241014170658,POINT (126.95137336026603 37.59603980588165),126.95137336026603,37.59603980588165
30,110080033,1123103,323,195646.3557,555661.5168,서대문-홍은-57(?,52201,N,20240910170747,POINT (126.9506986392206 37.60051764228157),126.9506986392206,37.60051764228157
31,110080034,1112107,324,191543.2054,555165.5894,은평-수색-55(비),52201,N,20241002172303,POINT (126.90423968409091 37.59602083111458),126.90423968409091,37.59602083111458
32,110080037,1112508,325,192199.0199,558500.8037,은평-현장-60(비),52205,N,20240904171437,POINT (126.91163022689202 37.62607650521594),126.91163022689202,37.62607650521594
33,110080038,1112508,326,192507.6378,558558.6973,은평-현장-61(비),52205,N,20240904171437,POINT (126.9151256644722 37.62660068478797),126.9151256644722,37.62660068478797
34,110081344,1108104,90,190868.6083,543630.6127,영등포-대림-0000,52201,N,20241011171100,POINT (126.89674435027328 37.492084486292576),126.89674435027328,37.492084486292576
35,110081348,1108105,92,192234.1103,545309.8238,영등포-신길-0000,52201,N,20240911171506,POINT (126.91216739085618 37.50722675042416),126.91216739085618,37.50722675042416
36,110081350,1108508,95,191760.9072,545633.7995,영등포-현장-0000,52201,N,20240920172927,POINT (126.9068118172476 37.510141682434224),126.9068118172476,37.510141682434224
37,110081356,1108103,97,191553.5338,548293.2981,영등포-당산-0000,52201,N,20241009170743,POINT (126.9044357676699 37.53410193067681),126.9044357676699,37.53410193067681
38,110081357,1108104,98,191312.858,543274.195,영등포-대림-0000,52201,N,20241011171100,POINT (126.90177202078455 37.48887742424098),126.90177202078455,37.48887742424098
39,110081354,1108105,100,192639.3798,545643.7726,영등포-신길-0000,52201,N,20240927170947,POINT (126.91674766347053 37.510238961176064),126.91674766347053,37.510238961176064
40,110081360,1108104,102,191079.4282,543470.0805,영등포-대림-0000,52201,N,20241011171100,POINT (126.89913019424725 37.490640140942936),126.89913019424725,37.490640140942936
41,110081361,1108104,103,191100.497,543568.0615,영등포-대림-0000,52201,N,20241011171100,POINT (126.89936724603996 37.491523158890516),126.89936724603996,37.491523158890516
42,110081364,1108104,105,191508.945,543508.134,영등포-대림-0000,52201,N,20240926171119,POINT (126.90398653139168 37.49098705222164),126.90398653139168,37.49098705222164
43,110081368,1108508,107,191743.0275,546872.5471,영등포-현장-0000,52201,N,20240919171236,POINT (126.90659567983346 37.5213026698296),126.90659567983346,37.5213026698296
44,110081370,1108105,108,193053.5174,545700.7137,영등포-신길-0000,52201,N,20240910170747,POINT (126.92143122723535 37.510755211068805),126.92143122723535,37.510755211068805
45,110081371,1108508,109,191506.4342,545135.4822,영등포-현장-0000,52201,N,20240924174257,POINT (126.90393935992914 37.50564951964216),126.90393935992914,37.50564951964216
46,110081375,1108508,111,190371.3811,546076.2328,영등포-현장-0000,52201,N,20240924174257,POINT (126.8910898271164 37.51411457384194),126.8910898271164,37.51411457384194
47,110081378,1108508,114,191746.931,546800.1203,영등포-현장-0000,52201,N,20240919171236,POINT (126.90664064993865 37.520650138029104),126.90664064993865,37.520650138029104
48,110081379,1108508,115,191870.6484,546667.0973,영등포-현장-0000,52201,N,20240919171236,POINT (126.90804161989989 37.51945269620966),126.90804161989989,37.51945269620966
49,110081380,1108508,116,191880.6093,546801.1864,영등포-현장-0000,52201,N,20240919171236,POINT (126.90815281556172 37.52066092921878),126.90815281556172,37.52066092921878
50,110081967,1119103,118,186727.2031,545128.1695,구로-고척-000015,52201,N,20240906171233,POINT (126.84988742156729 37.505527310309084),126.84988742156729,37.505527310309084
51,110081971,1128504,119,190616.1597,540620.6332,금천-현장-000018,52201,N,20240913171717,POINT (126.89392806481818 37.46496180495087),126.89392806481818,37.46496180495087
52,110081972,1119108,120,189495.2235,543066.4713,구로-공단-000022,52201,N,20240918170454,POINT (126.88122251209619 37.48698694578353),126.88122251209619,37.48698694578353
53,110081974,1128101,122,192331.534,539305.6579,금천-시흥-000020,52205,N,20241008170835,POINT (126.91333176041454 37.45312954217115),126.91333176041454,37.45312954217115
54,110081976,1119508,124,188119.4518,544877.8621,구로-현장-000023,52201,N,20240923174024,POINT (126.86563746526153 37.50329099343005),126.86563746526153,37.50329099343005
55,110081978,1119102,125,186170.2364,544127.5294,구로-수궁-000029,52201,N,20240912172010,POINT (126.84360707028314 37.49650334415347),126.84360707028314,37.49650334415347
56,110081979,1128504,126,191599.8109,541711.4106,금천-현장-000024,52201,N,20240913171717,POINT (126.90503449696548 37.47479927018251),126.90503449696548,37.47479927018251
57,110081981,1119103,128,186647.7575,545332.8104,구로-고척-000040,52201,N,20240906171233,POINT (126.84898519706056 37.507369983690346),126.84898519706056,37.507369983690346
58,110081982,1119508,129,188320.5248,544705.4062,구로-현장-000037,52201,N,20240923174024,POINT (126.86791422320304 37.50173972464395),126.86791422320304,37.50173972464395
59,110081985,1119108,132,190039.2866,543199.002,구로-공단-000047,52201,N,20240918170454,POINT (126.88737242864603 37.488187080101284),126.88737242864603,37.488187080101284
60,110081986,1119104,133,189477.4433,544146.4444,구로-구로-000046,52201,N,20241002172303,POINT (126.88100603601173 37.49671735970372),126.88100603601173,37.49671735970372
