날짜(YYYYMMDD),화재_건수,습도(%),온도(℃),날짜_읽기용
20230101,17,49.108729153518745,1.0261429634548829,2023-01-01
20230102,19,38.333514487236194,-2.9499108283070474,2023-01-02
20230103,17,41.334247474113184,-3.1268169025567683,2023-01-03
20230104,24,43.64189641318646,-0.3912642939094962,2023-01-04
20230105,17,51.52717422812131,-0.1901302644696186,2023-01-05
20230106,13,61.525036115695336,1.484760844682246,2023-01-06
20230107,14,74.51720242759765,2.49924326823708,2023-01-07
20230108,15,63.07282936768934,2.131889676681688,2023-01-08
20230109,16,54.673250212068645,4.262527233790689,2023-01-09
20230110,20,52.72399939186069,2.674343558240365,2023-01-10
20230111,11,56.225277214529214,3.6904710456393897,2023-01-11
20230112,14,45.51665227104225,6.0883734348572,2023-01-12
20230113,17,88.96112276453182,7.723792288106813,2023-01-13
20230114,14,87.84176766965435,6.902054175918948,2023-01-14
20230115,14,86.37718305456637,0.6442508739210653,2023-01-15
20230116,14,56.48447618354842,-3.320404922916891,2023-01-16
20230117,15,55.32726473844127,-2.604955175339519,2023-01-17
20230118,14,54.72008965349128,-0.6379086927197896,2023-01-18
20230119,16,56.58552831786582,0.5546781060047664,2023-01-19
20230120,16,48.10890688118178,-1.5911739296844405,2023-01-20
20230121,13,45.38009086262301,-3.5504542431537955,2023-01-21
20230122,27,53.50539865193113,0.20581363734453,2023-01-22
20230123,12,61.474131492515646,0.8374252533150791,2023-01-23
20230124,19,42.86758199184688,-12.735945050710484,2023-01-24
20230125,33,37.84441528736025,-11.03226698259792,2023-01-25
20230126,15,69.17712213231025,-5.321653750710814,2023-01-26
20230127,23,49.30945555605204,-5.904851945013089,2023-01-27
20230128,24,45.4619235800924,-4.833447790737682,2023-01-28
20230129,19,51.51938375658828,-1.2669929544720402,2023-01-29
20230130,22,45.86920724216157,0.3070709955506375,2023-01-30
20230131,19,59.5946765598178,2.983843776310755,2023-01-31
20230201,19,48.25835655226502,1.440550133970713,2023-02-01
20230202,15,36.92203654471224,-0.102743508369329,2023-02-02
20230203,20,37.807676351880176,-0.2799626652765813,2023-02-03
20230204,19,43.15089743877515,0.9592890961600772,2023-02-04
20230205,16,60.92362515899494,2.518083128613001,2023-02-05
20230206,15,64.69857448875528,3.786176047201296,2023-02-06
20230207,13,64.73969295875094,4.133661459979971,2023-02-07
20230208,16,54.349519408985245,3.304625624538144,2023-02-08
20230209,16,41.75774605406255,4.367433232596225,2023-02-09
20230210,13,72.61924292488669,4.727749353514509,2023-02-10
20230211,10,65.8825307657746,3.663780333706212,2023-02-11
20230212,13,64.79851072935791,4.109877790599242,2023-02-12
20230213,8,60.37126764725904,6.546025352981287,2023-02-13
20230214,16,49.8093212817342,2.636464975026358,2023-02-14
20230215,17,41.87999388055356,3.405643124855283,2023-02-15
20230216,25,59.39552227952838,3.138254163056644,2023-02-16
20230217,15,60.94579472473184,3.944324993817406,2023-02-17
20230218,18,53.65577235049162,6.30967254755568,2023-02-18
20230219,10,49.60602148165633,4.410783220510209,2023-02-19
20230220,22,45.77866422700347,0.662748100392636,2023-02-20
20230221,23,41.7632607672892,2.3026105843696065,2023-02-21
20230222,21,37.74785730757494,3.942473068346577,2023-02-22
20230223,26,57.09379532135276,3.3724887317495105,2023-02-23
20230224,18,53.09852113948397,4.259532973527647,2023-02-24
20230225,21,37.6037033501195,1.4695998813222706,2023-02-25
20230226,23,36.37388753841009,3.050184005234013,2023-02-26
20230227,26,45.56093980827664,4.669972756089459,2023-02-27
20230228,21,53.8247002858314,4.123023702587925,2023-02-28
20230301,17,45.11589891905892,4.029116156447802,2023-03-01
20230302,20,36.40709755228645,3.93520861030768,2023-03-02
20230303,14,54.35633626980991,3.563935381809058,2023-03-03
20230304,16,46.80976607419555,6.595854624572501,2023-03-04
20230305,18,39.26319587858119,9.627773867335945,2023-03-05
20230306,19,31.71662568296684,12.659693110099386,2023-03-06
20230307,10,53.52858548924748,11.614754589780288,2023-03-07
20230308,16,60.41149323114935,12.699663387812492,2023-03-08
20230309,20,79.71389388100617,10.844654515192431,2023-03-09
20230310,19,60.871821487718606,12.43208153863699,2023-03-10
20230311,8,54.70681456243366,12.427351745425966,2023-03-11
20230312,14,48.54180763714871,12.422621952214945,2023-03-12
20230313,15,42.376800711863766,12.41789215900392,2023-03-13
20230314,16,36.211793786578816,12.413162365792898,2023-03-14
20230315,19,65.75485247980514,9.669797993672123,2023-03-15
20230316,30,29.83389003045269,5.6153093232386775,2023-03-16
20230317,16,30.560371563058883,5.3377998567251295,2023-03-17
20230318,16,29.306692282496986,7.947579791959237,2023-03-18
20230319,17,28.05301300193509,10.557359727193344,2023-03-19
20230320,20,26.799333721373195,13.167139662427452,2023-03-20
20230321,9,31.72367059763048,13.030436338198374,2023-03-21
20230322,13,39.44596553001606,17.471455517469135,2023-03-22
20230323,19,46.06557966638173,18.026523886348524,2023-03-23
20230324,21,30.86930460934623,13.15797779847246,2023-03-24
20230325,19,55.13618982674782,11.57574713626235,2023-03-25
20230326,34,28.472682413061538,8.664779239095017,2023-03-26
20230327,22,35.61185571781975,7.311425806503845,2023-03-27
20230328,12,46.09204746544959,8.936211651370332,2023-03-28
20230329,11,47.34057478385118,11.53753185270107,2023-03-29
20230330,18,36.77313418082702,13.128564915370385,2023-03-30
20230331,18,37.5601843486983,14.895088092451427,2023-03-31
20230401,20,37.814190420369165,16.614916718665917,2023-04-01
20230402,14,26.84553686922847,18.461246543212816,2023-04-02
20230403,28,27.309811572106742,18.117421386760736,2023-04-03
20230404,30,27.46430659425597,17.889235907315783,2023-04-04
20230405,13,92.92130535533728,11.478338369392263,2023-04-05
20230406,11,87.44272368206497,8.802354499286302,2023-04-06
20230407,10,60.968100631348605,9.403334101838078,2023-04-07
20230408,11,41.8797897130352,8.874864088841173,2023-04-08
20230409,17,48.15252262209084,11.384239267941714,2023-04-09
20230410,17,44.4156132738282,12.474805682298136,2023-04-10
20230411,13,69.3135402478695,13.048164862484755,2023-04-11
20230412,19,33.52361512682391,10.31435148938334,2023-04-12
20230413,17,39.570300222399325,11.455296413829789,2023-04-13
20230414,18,50.62059077537901,15.11583848394116,2023-04-14
