,자치구,접수시각,소방서_거리,사망자수,부상자수,발화원인_대분류,접수시각_년원일,접수시각_년월일
103,송파구,20230110142950,3,0,0,계절용 기기,20230110142950,20230110
104,강서구,20230109214256,1,0,0,주방기기,20230109214256,20230109
105,관악구,20230112151050,2,0,0,,20230112151050,20230112
106,강서구,20230102022802,1,0,0,,20230102022802,20230102
107,강동구,20230107150539,3,0,0,,20230107150539,20230107
108,용산구,20230111064543,3,0,0,,20230111064543,20230111
109,서대문구,20230110192650,4,0,0,,20230110192650,20230110
110,종로구,20230107152957,4,0,0,,20230107152957,20230107
111,관악구,20230110032734,2,0,0,,20230110032734,20230110
112,강남구,20230112020137,2,0,0,배선/배선기구,20230112020137,20230112
113,양천구,20230110144253,1,0,0,,20230110144253,20230110
114,동대문구,20230106234236,5,0,0,,20230106234236,20230106
115,광진구,20230102071405,2,0,0,,20230102071405,20230102
116,중랑구,20230110195541,4,0,0,배선/배선기구,20230110195541,20230110
117,강북구,20230110102008,2,0,0,산업장비,20230110102008,20230110
118,마포구,20230110153538,2,0,0,,20230110153538,20230110
119,강남구,20230115193533,1,0,0,,20230115193533,20230115
120,관악구,20230107022115,1,0,0,주방기기,20230107022115,20230107
121,마포구,20230106231707,3,0,0,,20230106231707,20230106
122,성동구,20230116191423,3,0,0,,20230116191423,20230116
123,노원구,20230102155717,3,0,0,,20230102155717,20230102
124,영등포구,20230113085819,2,0,0,,20230113085819,20230113
125,광진구,20230113012808,1,0,0,주방기기,20230113012808,20230113
126,서대문구,20230105231443,1,0,0,,20230105231443,20230105
127,강서구,20230109152413,5,0,0,,20230109152413,20230109
128,동작구,20230109185152,1,0,0,,20230109185152,20230109
129,강남구,20230113050742,4,0,0,,20230113050742,20230113
130,강서구,20230116135757,2,0,0,,20230116135757,20230116
131,도봉구,20230116091842,1,0,1,,20230116091842,20230116
132,중랑구,20230102173403,2,0,0,계절용 기기,20230102173403,20230102
133,구로구,20230112212315,2,0,0,,20230112212315,20230112
134,노원구,20230113045044,1,0,0,계절용 기기,20230113045044,20230113
135,마포구,20230116114651,4,0,0,,20230116114651,20230116
136,양천구,20230102112704,1,0,0,,20230102112704,20230102
137,송파구,20230102120910,2,0,0,,20230102120910,20230102
138,관악구,20230106044751,2,0,0,생활기기,20230106044751,20230106
139,강서구,20230106110452,0,0,0,,20230106110452,20230106
140,중구,20230108183012,1,0,0,미상,20230108183012,20230108
141,노원구,20230113103418,4,0,0,계절용 기기,20230113103418,20230113
142,은평구,20230111113344,1,0,0,계절용 기기,20230111113344,20230111
143,용산구,20230116110108,3,0,0,,20230116110108,20230116
144,중구,20230116101235,3,0,0,배선/배선기구,20230116101235,20230116
145,노원구,20230116005741,3,0,0,,20230116005741,20230116
146,성북구,20230116073621,4,0,0,,20230116073621,20230116
147,성북구,20230108155011,2,0,0,,20230108155011,20230108
148,종로구,20230102113308,1,0,0,,20230102113308,20230102
149,강서구,20230106044706,1,0,0,,20230106044706,20230106
150,영등포구,20230106003221,4,0,0,,20230106003221,20230106
151,구로구,20230116012411,4,0,0,,20230116012411,20230116
152,강서구,20230108161237,4,0,0,,20230108161237,20230108
153,강서구,20230101222549,5,0,0,,20230101222549,20230101
154,서대문구,20230115230745,3,0,0,주방기기,20230115230745,20230115
155,강남구,20230102191200,2,0,0,,20230102191200,20230102
156,영등포구,20230102112926,2,0,0,생활기기,20230102112926,20230102
157,용산구,20230106220726,2,0,0,,20230106220726,20230106
158,노원구,20230109204854,4,0,0,,20230109204854,20230109
159,중랑구,20230104115545,5,0,1,,20230104115545,20230104
160,성동구,20230116104603,2,0,0,,20230116104603,20230116
161,강동구,20230106102847,1,0,0,,20230106102847,20230106
162,은평구,20230116204757,5,0,0,,20230116204757,20230116
163,도봉구,20230116014948,3,0,0,,20230116014948,20230116
164,강남구,20230108145003,1,0,0,"영상,음향기기",20230108145003,20230108
165,영등포구,20230108152948,1,0,0,,20230108152948,20230108
166,광진구,20230106151223,3,0,0,,20230106151223,20230106
167,노원구,20230108192627,2,0,0,계절용 기기,20230108192627,20230108
168,동작구,20230121023037,12,0,1,,20230121023037,20230121
169,성동구,20230107170225,3,0,0,"차량, 선박부품",20230107170225,20230107
170,영등포구,20230105223854,1,0,0,,20230105223854,20230105
171,송파구,20230109181102,5,0,0,,20230109181102,20230109
