시,구,주택유형,2020~,2010~2019,2000~2009,1990~1999,1980~1989,~1979
서울시,양천구,다세대주택,2798,14303,11064,7597,6486,66
서울시,양천구,비주거용 건물내주택,0,48,108,267,295,61
서울시,강서구,계,13658,47231,64075,69843,7691,1865
서울시,강서구,단독주택,122,457,796,4134,2363,1551
서울시,강서구,아파트,7035,20230,36634,54059,1459,104
서울시,강서구,연립주택,185,479,395,1829,1867,63
서울시,강서구,다세대주택,6301,26002,26116,9370,1724,25
서울시,강서구,비주거용 건물내주택,5,54,134,451,278,122
서울시,구로구,계,9592,31790,37149,36891,18277,4251
서울시,구로구,단독주택,107,259,351,4819,2960,2512
서울시,구로구,아파트,5277,18153,28610,24278,9505,641
서울시,구로구,연립주택,450,625,377,1566,4303,255
서울시,구로구,다세대주택,3740,12682,7733,5999,1252,688
서울시,구로구,비주거용 건물내주택,13,65,78,229,257,155
서울시,금천구,계,6677,21308,19150,14597,8882,2053
서울시,금천구,단독주택,112,354,264,2986,3164,1573
서울시,금천구,아파트,2201,7133,12729,8104,2867,79
서울시,금천구,연립주택,222,232,360,1122,2064,34
서울시,금천구,다세대주택,4127,13509,5734,2277,647,262
서울시,금천구,비주거용 건물내주택,6,75,63,108,140,105
서울시,영등포구,계,15496,21374,25839,26381,13568,12353
서울시,영등포구,단독주택,113,714,444,5879,3127,3177
서울시,영등포구,아파트,11993,12042,21679,18151,8899,8570
서울시,영등포구,연립주택,323,133,235,266,508,203
서울시,영등포구,다세대주택,3022,8309,3423,1832,719,156
서울시,영등포구,비주거용 건물내주택,43,176,58,253,315,247
서울시,동작구,계,10423,30344,33267,34373,8602,3980
서울시,동작구,단독주택,249,1195,805,4558,2312,3340
서울시,동작구,아파트,7553,14843,21952,20818,3437,179
서울시,동작구,연립주택,100,372,806,2782,738,207
서울시,동작구,다세대주택,2494,13764,9565,5933,1926,64
서울시,동작구,비주거용 건물내주택,24,170,139,282,189,190
서울시,관악구,계,7534,24573,47853,36362,8822,5843
서울시,관악구,단독주택,547,2423,2021,7766,3285,4536
서울시,관악구,아파트,3532,5791,34162,12036,1804,559
서울시,관악구,연립주택,149,284,618,3982,1142,55
서울시,관악구,다세대주택,3218,15701,10609,12091,2308,482
서울시,관악구,비주거용 건물내주택,88,374,443,487,283,211
서울시,서초구,계,15930,37445,41440,20241,14097,5413
서울시,서초구,단독주택,145,328,588,1877,1275,583
서울시,서초구,아파트,12327,25048,32857,11277,9767,4670
서울시,서초구,연립주택,216,350,303,3052,1235,55
서울시,서초구,다세대주택,3195,11603,7499,3600,1518,55
서울시,서초구,비주거용 건물내주택,43,112,193,435,302,50
서울시,강남구,계,26855,36829,50894,39637,29283,8722
서울시,강남구,단독주택,99,421,1131,2769,1367,258
서울시,강남구,아파트,24164,24618,33734,30575,24479,8426
서울시,강남구,연립주택,122,696,1222,2393,1113,9
서울시,강남구,다세대주택,2409,10915,14453,3263,2044,11
서울시,강남구,비주거용 건물내주택,58,179,354,637,280,18
서울시,송파구,계,17087,53891,75274,34009,34770,7764
서울시,송파구,단독주택,119,158,431,3384,3070,390
서울시,송파구,아파트,11293,27121,44532,19059,27795,7332
서울시,송파구,연립주택,169,540,267,2943,796,10
서울시,송파구,다세대주택,5484,26011,29866,8054,2530,6
서울시,송파구,비주거용 건물내주택,7,55,178,569,579,26
서울시,강동구,계,27517,47410,39909,20647,19058,771
서울시,강동구,단독주택,173,401,537,3676,3924,651
서울시,강동구,아파트,21691,26803,29572,12140,11441,0
서울시,강동구,연립주택,336,89,167,1817,968,0
서울시,강동구,다세대주택,5274,20029,9505,2716,2292,65
서울시,강동구,비주거용 건물내주택,43,84,128,298,433,55
