,X좌표,Y좌표,비상소화장치고유번호
133,200179.6345,547637.7509,용산-이태-000078
134,197019.1481,548856.3043,용산-현장-000079
135,197061.6492,547539.1794,용산-현장-000082
136,197796.5012,550337.3639,용산-후암-000083
137,200210.8922,547893.5713,용산-이태-000084
138,199779.5666,547453.0071,용산-이태-000085
139,197747.9994,548588.2416,용산-현장-000089
140,199765.0399,547540.9396,용산-이태-000091
141,197830.3172,550368.8502,용산-후암-000092
142,198513.027,549575.3413,용산-후암-000093
143,199988.9767,548101.8416,용산-이태-000095
144,200465.4957,547766.2077,용산-이태-000103
145,197047.9536,550364.7318,용산-현장-000106
146,199498.2569,549044.5185,용산-이태-000110
147,200228.7714,548777.5779,용산-이태-000099
148,198862.3918,549253.4928,용산-후암-000100
149,198538.402,549376.864,용산-후암-000102
150,199727.4014,547209.2851,용산-서빙-000104
151,199394.6315,546772.0293,용산-서빙-000108
152,199352.9805,548425.0442,용산-이태-000133
153,196894.7913,546982.7029,용산-이촌-000134
154,197060.255,550193.3554,용산-현장-000135
155,205439.5473,554219.5984,동대문-휘경-061(
156,205548.1673,554081.2326,동대문-휘경-063(
157,204158.4829,554320.4302,동대문-청량-065(
158,204193.3712,554268.1846,동대문-청량-066(
159,203204.1552,553526.2782,동대문-용두-067(
160,203011.5696,555226.0682,성북-현장-69(비)
161,203530.2783,555066.8631,성북-현장-70(비)
162,202919.8856,555283.0913,성북-현장-71(비)
163,204419.3171,556344.5422,성북-현장-136(비
164,202588.869,555340.6264,성북-현장-74(비)
165,204490.8367,556181.8135,성북-현장-75(비)
166,196542.312,552357.139,서대문-북아-122(
167,191707.7581,557464.8758,은평-역촌--9(비)
168,192365.6295,558790.3143,은평-현장-13(비)
169,196085.9214,545582.0499,동작-노량-000002
170,198835.4636,551039.55,중부-충무-000260
171,205881.8865,548361.8924,광진-능동-000041
172,207768.6406,552009.623,광진-중곡-000057
173,202356.1961,549917.6559,성동-금호-000052
174,204993.8929,549045.9516,성동-성수-000050
175,206972.5558,548578.4305,광진-현장-000055
176,202723.39,551056.7424,성동-현장-000051
177,202607.2114,551387.2601,성동-왕십-000054
178,198396.7461,550725.0073,중부-회현-000252
179,207054.8722,551908.0682,광진-중곡-000064
180,206530.2166,550720.6823,광진-능동-000066
181,208133.2277,549852.6075,광진-현장-000059
182,208093.8622,548992.634,광진-현장-000061
183,209270.6945,549863.3455,광진-현장-000067
184,197947.585,551075.8154,중부-회현-000255
185,204245.3953,548695.5981,성동-현장-000072
186,204424.6667,548636.0918,성동-현장-000073
187,205750.6555,550051.3783,성동-성수-000070
188,203905.3962,551600.7406,성동-왕십-000076
189,201787.493,550859.3167,성동-금호-000078
190,204137.4828,551141.1944,성동-현장-000074
191,207891.0777,551313.8844,광진-중곡-000020
192,203494.1408,552221.2568,성동-왕십-000022
193,207251.3391,548811.9555,광진-현장-000079
194,206855.5647,549511.731,광진-능동-000080
195,206014.348,549402.8949,광진-능동-000084
196,203569.8244,549746.5196,성동-현장-000089
197,204901.0638,550987.1174,성동-왕십-000087
198,205673.6463,549978.3705,성동-성수-000088
199,198600.9355,550906.5358,중부-충무-000258
200,200861.2701,549031.1991,성동-금호-000105
201,205731.9212,548665.5199,광진-능동-000086
202,193981.6739,543601.3185,관악-봉천-000175
203,195914.6809,543197.4858,관악-봉천-000176
204,193995.3572,541482.9153,관악-현장-000178
205,195572.6561,542671.0924,관악-봉천-000179
206,194141.7197,542367.135,관악-신림-000181
207,195296.3793,545725.5978,동작-노량-000274
208,194612.682,544705.6678,동작-상도-000278
209,193927.4204,543784.559,동작-상도-000279
210,196694.1292,543393.2147,동작-백운-000281
211,193791.6793,540108.3208,관악-현장-000007
212,197072.5106,540993.2909,관악-현장-000010
213,192494.7564,540494.0321,관악-난곡-000009
214,194093.2329,541827.8091,관악-신림-000008
215,193069.1473,540759.639,관악-난곡-000080
216,192928.0754,541853.66,관악-난곡-000087
217,193701.276,540105.97,관악-현장-000006
218,194711.2899,541622.4983,관악-현장-000030
219,194252.985,540573.6361,관악-현장-000036
220,194541.5316,540838.8158,관악-현장-000038
221,200973.4235,556626.5251,성북-길음-101(비
222,204527.5691,556703.9304,성북-장위-102(비
223,203334.4181,556084.7013,성북-현장-103(비
224,204875.442,554008.2291,동대문-전농-13(?
225,204023.1317,554282.0481,동대문-청량-036(
226,204469.3541,553690.7898,동대문-전농-37(?
227,205919.6001,553440.3598,동대문-전농-14(?
228,204420.7407,553627.169,동대문-전농-16(?
229,205338.3949,554688.3084,동대문-휘경-018(
230,205438.7469,554856.7051,동대문-청량-019(
231,203843.6627,553525.1551,동대문-청량-020(
