자치구,인구수,화재율(1만명당)
강남구,655545.1142875,6.437390666219274
강동구,509888.837375,3.35367216274706
강북구,287913.541725,6.946529808974027
강서구,526891.403,5.200312596483947
관악구,450404.0120125,6.238843183133135
광진구,353516.3765625,5.459435907232392
구로구,378003.2813625,5.343868954573566
금천구,193612.6035333333,9.916709785215213
노원구,495216.3397541667,3.9982525636833866
도봉구,274950.6440375,6.510259345876873
동대문구,327699.1760625,4.821495186483644
동작구,358048.7689041667,4.6641690882254725
마포구,417052.96870416665,6.497975565118967
서대문구,325113.07000833336,6.428532694629683
서초구,465975.1827041667,5.129028516347699
성동구,308538.9398083333,6.4497531534794375
성북구,408905.8578958334,6.113876707134047
송파구,736216.3999875,5.18869180320468
양천구,371396.60407916666,4.388839268041746
영등포구,432745.77595416666,8.041672948342255
용산구,263872.4790041667,8.299463469115393
은평구,441263.64961666666,5.620222744734171
종로구,238205.0352625,8.438108782146424
중구,193852.30520833333,7.170407380537286
중랑구,358424.7894541667,4.882474793847315
